n_steps,step_dim,attn_dim,ghost_bn,virtual_batch_size,momentum,gamma,dropout,embed_dropout,lr,batch_size,weight_decay,lambda_sparse,optimizer,lr_scheduler,base_lr,max_lr,div_factor,final_div_factor,n_cycles,val_loss
4,16,16,False,128,0.98,1.5,0.0,0.0,0.03,128,0.0,0.0001,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5,2379.441096608232
5,16,16,False,128,0.98,1.5,0.0,0.0,0.03,128,0.0,0.0001,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5,2383.2769507431403
4,16,16,False,128,0.98,2.0,0.0,0.0,0.03,128,0.0,0.0001,AdamW,ReduceLROnPlateau,0.001,0.01,25,10000.0,5,2390.5058028058306
5,8,8,False,128,0.98,1.5,0.0,0.0,0.03,128,0.0,0.0001,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5,2406.2112263004956
4,32,32,False,128,0.98,1.5,0.0,0.0,0.03,128,0.0,0.0001,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5,2409.453282798209
3,8,8,False,128,0.98,1.5,0.0,0.0,0.03,128,0.0,0.0001,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5,2413.0281327410444
4,16,16,False,128,0.75,1.5,0.0,0.0,0.03,128,0.0,0.0001,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5,2414.7085467082698
4,16,16,False,128,0.98,1.5,0.0,0.0,0.03,128,0.0,0.01,AdamW,ReduceLROnPlateau,0.001,0.01,25,10000.0,5,2416.4734899009145
5,16,16,False,128,0.98,1.5,0.0,0.0,0.03,128,0.0,0.0001,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5,2433.5641256192835
4,16,16,False,128,0.98,1.25,0.0,0.0,0.03,128,0.0,0.0001,AdamW,ReduceLROnPlateau,0.001,0.01,25,10000.0,5,2449.2100651438645
4,16,16,False,128,0.98,1.75,0.0,0.0,0.03,128,0.0,0.0001,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5,2459.20966915968
4,8,8,False,128,0.98,1.5,0.0,0.0,0.03,128,0.0,0.0001,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5,2463.0406315501145
4,16,16,False,128,0.25,1.5,0.0,0.0,0.03,128,0.0,0.0001,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5,2465.0261379334984
4,16,16,False,128,0.5,1.5,0.0,0.0,0.03,128,0.0,0.0001,AdamW,ReduceLROnPlateau,0.001,0.01,25,10000.0,5,2466.326925138148
5,16,16,True,128,0.98,1.5,0.0,0.0,0.03,512,0.0,0.0001,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5,2481.1496249112215
4,16,16,False,128,0.75,1.5,0.0,0.0,0.03,128,0.0,0.0001,AdamW,ReduceLROnPlateau,0.001,0.01,25,10000.0,5,2481.7994712271343
4,16,16,False,128,0.25,1.5,0.0,0.0,0.03,128,0.0,0.0001,AdamW,ReduceLROnPlateau,0.001,0.01,25,10000.0,5,2484.240201624428
4,16,16,False,128,0.5,1.5,0.0,0.0,0.03,128,0.0,0.0001,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5,2504.0622201314786
3,32,32,False,128,0.98,1.5,0.0,0.0,0.03,128,0.0,0.0001,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5,2505.5134843035444
3,16,16,False,128,0.98,1.5,0.0,0.0,0.03,128,0.0,0.0001,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5,2507.715370736471
4,16,16,False,128,0.98,1.75,0.0,0.0,0.03,128,0.0,0.0001,AdamW,ReduceLROnPlateau,0.001,0.01,25,10000.0,5,2525.1006216653964
4,16,16,False,128,0.98,1.5,0.0,0.0,0.03,128,0.0,1e-05,AdamW,ReduceLROnPlateau,0.001,0.01,25,10000.0,5,2535.59165098609
4,16,16,False,128,0.98,1.5,0.0,0.0,0.03,128,0.0,0.001,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5,2540.012442239901
4,16,16,False,128,0.98,1.5,0.0,0.0,0.03,128,0.0,0.01,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5,2568.2788800495427
5,16,16,False,128,0.98,1.5,0.0,0.0,0.03,128,0.0,0.0001,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5,2608.429621998857
5,16,16,False,128,0.98,1.5,0.0,0.0,0.03,1024,0.0,0.0001,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5,2638.080118815104
5,32,32,False,128,0.98,1.5,0.0,0.0,0.03,128,0.0,0.0001,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5,2667.469911156631
5,16,16,True,128,0.98,1.5,0.0,0.0,0.03,512,0.0,0.0001,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5,2672.146151455966
4,16,16,False,128,0.98,2.0,0.0,0.0,0.03,128,0.0,0.0001,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5,2694.933170969893
5,16,16,False,128,0.98,1.5,0.0,0.0,0.03,512,0.0,0.0001,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5,2718.6558061079545
5,16,16,False,128,0.98,1.5,0.0,0.0,0.03,512,0.0,0.0001,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5,2730.6636186079545
5,16,16,True,128,0.98,1.5,0.0,0.0,0.03,1024,0.0,0.0001,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5,2745.898681640625
5,16,16,False,128,0.98,1.5,0.0,0.0,0.03,1024,0.0,0.0001,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5,2797.020548502604
5,16,16,False,128,0.98,1.5,0.0,0.0,0.03,512,0.0,0.0001,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5,2799.4914994673295
5,16,16,False,128,0.98,1.5,0.0,0.0,0.03,1024,0.0,0.0001,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5,2824.185099283854
5,16,16,True,128,0.98,1.5,0.0,0.0,0.03,512,0.0,0.0001,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5,2837.616366299716
4,16,16,False,128,0.98,1.5,0.0,0.0,0.03,128,0.0,1e-05,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5,2911.4096262862045
5,16,16,True,128,0.98,1.5,0.0,0.0,0.03,1024,0.0,0.0001,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5,2926.101033528646
5,16,16,True,128,0.98,1.5,0.0,0.0,0.03,1024,0.0,0.0001,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5,2933.622355143229
4,16,16,False,128,0.98,1.25,0.0,0.0,0.03,128,0.0,0.0001,Adam,ReduceLROnPlateau,0.001,0.01,25,10000.0,5,2937.983466915968
